feature,abs_mean_shap,Place,Target,Variant
O3,0.0830974550287114,CM,Y1,base
NOx,0.004653263025718,CM,Y1,base
SO2,0.0066601873750341,CM,Y1,base
Radiation,0.0059041571129904,CM,Y1,base
Temperature,0.1105218888399769,CM,Y1,base
Humidity,0.0804470347025339,CM,Y1,base
HNO3,0.0042809189279228,CM,Y1,base
H2SO4,0.0027710782802869,CM,Y1,base
HNO3O3,0.0145384608295562,CM,Y1,base
H2SO4O3,0.0170701745656608,CM,Y1,base
O3hv,0.085720182992947,CM,Y1,base
C_T_hat,0.0844504798650666,CM,Y1,base
doy_sin,0.0,CM,Y1,base
doy_cos,0.0,CM,Y1,base
hour_sin,0.0041957433223728,CM,Y1,base
hour_cos,0.0062445196935137,CM,Y1,base
O3,0.0087173655687242,JH,Y1,base
NOx,0.0048048021481255,JH,Y1,base
SO2,0.0030186194754149,JH,Y1,base
Radiation,0.0150119866646708,JH,Y1,base
Temperature,0.0081576699517249,JH,Y1,base
Humidity,0.0093507818241293,JH,Y1,base
HNO3,0.0117137840403678,JH,Y1,base
H2SO4,0.0046643292457851,JH,Y1,base
HNO3O3,0.0871121418462797,JH,Y1,base
H2SO4O3,0.0034442197452389,JH,Y1,base
O3hv,0.0045695051348143,JH,Y1,base
C_T_hat,0.005741488341695,JH,Y1,base
doy_sin,0.0,JH,Y1,base
doy_cos,0.0,JH,Y1,base
hour_sin,0.057568104796251,JH,Y1,base
hour_cos,0.0082637366669178,JH,Y1,base
O3,0.0341446047095003,CM,Y2,cs
NOx,0.0041437034661583,CM,Y2,cs
SO2,0.0016886207332454,CM,Y2,cs
Radiation,0.004750810402983,CM,Y2,cs
Temperature,0.1189079746310203,CM,Y2,cs
Humidity,0.034755973682852,CM,Y2,cs
HNO3,0.0081031946167905,CM,Y2,cs
H2SO4,0.0019927723410801,CM,Y2,cs
HNO3O3,0.0079535457207407,CM,Y2,cs
H2SO4O3,0.0063528823534081,CM,Y2,cs
O3hv,0.0715843947040498,CM,Y2,cs
C_T_hat,0.0682872878424861,CM,Y2,cs
doy_sin,0.0,CM,Y2,cs
doy_cos,0.0,CM,Y2,cs
hour_sin,0.0023478404174974,CM,Y2,cs
hour_cos,0.0117516103254076,CM,Y2,cs
k_env_cs,0.0631022556823535,CM,Y2,cs
O3,0.0082664069736845,JH,Y2,cs
NOx,0.0034404756190219,JH,Y2,cs
SO2,0.0015100935034017,JH,Y2,cs
Radiation,0.0147075913570489,JH,Y2,cs
Temperature,0.0062605741382861,JH,Y2,cs
Humidity,0.0176341774642817,JH,Y2,cs
HNO3,0.0049707889273098,JH,Y2,cs
H2SO4,0.0039993447285032,JH,Y2,cs
HNO3O3,0.0130459436148283,JH,Y2,cs
H2SO4O3,0.0024484402915949,JH,Y2,cs
O3hv,0.0026092348409357,JH,Y2,cs
C_T_hat,0.0065290442361969,JH,Y2,cs
doy_sin,0.0,JH,Y2,cs
doy_cos,0.0,JH,Y2,cs
hour_sin,0.0076891636858952,JH,Y2,cs
hour_cos,0.0822382132501566,JH,Y2,cs
k_env_cs,0.0376442440161918,JH,Y2,cs
