Place,SHAP_feature,SHAP_abs_mean,Linear_feature,Linear_scaled_effect
CM,O3,0.0527293514736403,,
CM,NOx,0.0166649138732564,,
CM,SO2,0.0353313115707258,,
CM,RH,0.0182324709078513,,
CM,J,0.0316108125342109,,
CM,Temperature,0.0236779492528251,,
CM,,,HNO3,1.116014104679964
CM,,,H2SO4,5.600290942724612
CM,,,H2SO4O3,-0.5596116398047417
CM,,,HNO3O3,-1.3542755689408266
CM,,,O3hv,0.7253716829408682
CM,,,K,-0.8785559550479061
CM,,,hv,-0.5300215885176195
JH,O3,0.02114927434298,,
JH,NOx,0.0170992870353565,,
JH,SO2,0.008159647585663,,
JH,RH,0.0189558019926494,,
JH,J,0.0231616952771526,,
JH,Temperature,0.030253377012628,,
JH,,,HNO3,0.5422588519460235
JH,,,H2SO4,0.3218439235734154
JH,,,H2SO4O3,0.0379486742484851
JH,,,HNO3O3,0.3452627651196689
JH,,,O3hv,-0.0802561052654352
JH,,,K,2.5121218997455315
JH,,,hv,0.1444854477287578
