Category,ModelID,Place,Parameter,Estimate,StdErr,p_value,Significance,RegressorMean,Effect_coef_x_mean,EffectSE_coef_x_mean
I,1,CM,H2SO4,0.0008584325000000001,0.0006620946,0.1947892803,,1117.4665383352685,0.9592695941694904,0.7398685607124743
I,1,CM,H2SO4O3,0.0001049948,1.8719200000000002e-05,2.04e-08,***,22389.124129372372,2.3507416101386265,0.4191064924025474
I,1,CM,HNO3,0.0022250950000000003,0.0001889022,5.003203253e-32,***,1992.2877420790994,4.433029493461494,0.37634753751177447
I,1,CM,HNO3O3,-4.36577e-05,1.0506e-05,3.24586e-05,***,32558.50524528925,-1.4214294544472645,0.3420596561070089
I,1,CM,K,-0.8512359264,0.2237205941,0.0001418578,***,3.021340782399964,-2.571873819876334,0.6759361548170787
I,1,CM,O3hv,-2.2062e-06,1.2016e-06,0.0663543899,,121491.14102633274,-0.2680337553322953,0.14598375505724143
I,1,CM,hv,1.68992e-05,2.96008e-05,0.568064435,,3851.2926768260245,0.06508376520421835,0.11400134426819178
I,1,JH,H2SO4,0.0065384025,0.0010420964,4e-10,***,887.7750658929668,5.80463071027224,0.9251472001768236
I,1,JH,H2SO4O3,-0.0001631258,1.45031e-05,2.3786036259999998e-29,***,14389.702520791807,-2.34733173546618,0.20869529462929565
I,1,JH,HNO3,-0.0003151577,7.084680000000001e-05,8.649600000000001e-06,***,1716.2465563727033,-0.5408883173393415,0.12159057653002564
I,1,JH,HNO3O3,0.0001248961,1.14793e-05,1.433573669e-27,***,26515.88837350705,3.311731045886374,0.30438383740599945
I,1,JH,K,-1.1169777188,0.357949379,0.0018054998,**,2.834901840471254,-3.1665221907915027,1.0147513533226424
I,1,JH,O3hv,-6.281000000000001e-07,1.01e-07,5e-10,***,2033893.000156858,-1.2774881933985227,0.20542319301584266
I,1,JH,hv,1.71791e-05,2.7283e-06,3e-10,***,80159.81379821533,1.377073457220921,0.2187000199856709
I,2,CM,H2SO4,0.0049928632,0.00026305320000000003,2.475471245e-80,***,1121.6592000206638,5.6002909427246115,0.2950560418748757
I,2,CM,H2SO4O3,-2.38365e-05,7.3458e-06,0.001174934,**,23477.089329588725,-0.5596116398047417,0.17245800279729287
I,2,CM,HNO3,0.0005601385,5.45607e-05,9.992728763000001e-25,***,1992.3895691511368,1.116014104679964,0.10870616956558443
I,2,CM,HNO3O3,-3.95591e-05,4.2511e-06,1.3316257e-20,***,34234.23609083186,-1.3542755689408266,0.1455331610457353
I,2,CM,K,-0.2885227838,0.0748660013,0.000116272,***,3.045014135372092,-0.8785559550479061,0.2279680322172854
I,2,CM,O3hv,5.7149e-06,5.832e-07,1.126785172e-22,***,126926.39992665981,0.7253716829408682,0.074023476437228
I,2,CM,hv,-0.0001294294,1.36315e-05,2.2049763969999996e-21,***,4095.0633203709476,-0.5300215885176195,0.055821855651636575
I,2,JH,H2SO4,0.00035218040000000003,0.00019797520000000002,0.07525422080000001,,913.860974584092,0.3218439235734154,0.18092180921548054
I,2,JH,H2SO4O3,2.5776e-06,2.8220000000000003e-06,0.3610193528,,14722.483802174576,0.03794867424848519,0.041546849289736655
I,2,JH,HNO3,0.0003027196,1.7364200000000002e-05,4.591679230000001e-68,***,1791.2908577641604,0.5422588519460235,0.03110433271238844
I,2,JH,HNO3O3,1.21862e-05,1.5956e-06,0.0,***,28332.27463193357,0.3452627651196689,0.045206977402713205
I,2,JH,K,0.8626485641,0.06780394370000001,4.423640197e-37,***,2.912103496475908,2.5121218997455315,0.19745210152362563
I,2,JH,O3hv,-4.1100000000000004e-08,1.4700000000000001e-08,0.005171084,**,1952703.291129812,-0.08025610526543528,0.028704738379608238
I,2,JH,hv,1.8313000000000002e-06,3.815e-07,1.5817e-06,***,78897.7489918407,0.14448544772875788,0.030099491240387227
I,3,CM,C_T_hat,1.3031813588,0.0117387262,0.0,***,3.045014135372092,3.96820565849941,0.035744587210262725
I,3,JH,C_T_hat,1.3057998838,0.0040587947,0.0,***,2.912103496475908,3.8026244073118143,0.011819630237347884
