Category,Place,Key,Value
CS,CM,CS0_mean,2.466935957792704
CS,CM,CS0_ci_low,2.466935957792704
CS,CM,CS0_ci_high,2.466935957792704
CS,CM,beta_max_mean,1.1201985484849433
CS,CM,beta_max_ci_low,1.1201985484849435
CS,CM,beta_max_ci_high,1.1201985484849435
CS,JH,CS0_mean,6.3016770376540885
CS,JH,CS0_ci_low,6.301677037654089
CS,JH,CS0_ci_high,6.301677037654089
CS,JH,beta_max_mean,1.2684323441339134
CS,JH,beta_max_ci_low,1.2684323441339134
CS,JH,beta_max_ci_high,1.2684323441339134
Timescale,CM,"tau_C_s (eps=0.3,Q50)",0.1434321568516716
Timescale,CM,tau_SOA_s,10000.0
Timescale,CM,"tau_C_s (eps=0.5,Q50)",0.0860592941110029
Timescale,CM,tau_SOA_s,10000.0
Timescale,CM,"tau_C_s (eps=1.0,Q50)",0.0430296470555014
Timescale,CM,tau_SOA_s,10000.0
Timescale,JH,"tau_C_s (eps=0.3,Q50)",0.1129001654674751
Timescale,JH,tau_SOA_s,10000.0
Timescale,JH,"tau_C_s (eps=0.5,Q50)",0.067740099280485
Timescale,JH,tau_SOA_s,10000.0
Timescale,JH,"tau_C_s (eps=1.0,Q50)",0.0338700496402425
Timescale,JH,tau_SOA_s,10000.0
MassClosure,CM,alpha_hat_Delta0.1666666666666666_Lag0.0,0.005571564138107
MassClosure,CM,alpha_theory_Delta0.1666666666666666,0.005445421820795
MassClosure,CM,r_all_Delta0.1666666666666666_Lag0.0,0.4170246507002412
MassClosure,CM,r_highI_Delta0.1666666666666666_Lag0.0,0.4903215690484317
MassClosure,JH,alpha_hat_Delta0.1666666666666666_Lag0.0,0.0241425127755296
MassClosure,JH,alpha_theory_Delta0.1666666666666666,0.0318485122459795
MassClosure,JH,r_all_Delta0.1666666666666666_Lag0.0,0.3788569410789517
MassClosure,JH,r_highI_Delta0.1666666666666666_Lag0.0,0.3981199364084302
MassClosure,CM,alpha_hat_Delta0.5_Lag0.0,0.0062393783191831
MassClosure,CM,alpha_theory_Delta0.5,0.005445421820795
MassClosure,CM,r_all_Delta0.5_Lag0.0,0.470183491634417
MassClosure,CM,r_highI_Delta0.5_Lag0.0,0.5398917705726037
MassClosure,JH,alpha_hat_Delta0.5_Lag0.0,0.0262503015624209
MassClosure,JH,alpha_theory_Delta0.5,0.0318485122459795
MassClosure,JH,r_all_Delta0.5_Lag0.0,0.4223444929035435
MassClosure,JH,r_highI_Delta0.5_Lag0.0,0.4376673849688201
MassClosure,CM,alpha_hat_Delta1.0_Lag0.0,0.0060826887604279
MassClosure,CM,alpha_theory_Delta1.0,0.005445421820795
MassClosure,CM,r_all_Delta1.0_Lag0.0,0.4672017606504283
MassClosure,CM,r_highI_Delta1.0_Lag0.0,0.5198976267640023
MassClosure,JH,alpha_hat_Delta1.0_Lag0.0,0.025750207531614
MassClosure,JH,alpha_theory_Delta1.0,0.0318485122459795
MassClosure,JH,r_all_Delta1.0_Lag0.0,0.4318393830144226
MassClosure,JH,r_highI_Delta1.0_Lag0.0,0.4497301301808862
MassClosure,CM,alpha_hat_Delta10.0_Lag0.0,0.0010198688933312
MassClosure,CM,alpha_theory_Delta10.0,0.005445421820795
MassClosure,CM,r_all_Delta10.0_Lag0.0,0.1746605343001168
MassClosure,CM,r_highI_Delta10.0_Lag0.0,0.1206184437875699
MassClosure,JH,alpha_hat_Delta10.0_Lag0.0,0.0094231415313042
MassClosure,JH,alpha_theory_Delta10.0,0.0318485122459795
MassClosure,JH,r_all_Delta10.0_Lag0.0,0.2667503090246382
MassClosure,JH,r_highI_Delta10.0_Lag0.0,0.247811493059416
MassClosure,CM,alpha_hat_Delta30.0_Lag0.0,0.000237513446843
MassClosure,CM,alpha_theory_Delta30.0,0.005445421820795
MassClosure,CM,r_all_Delta30.0_Lag0.0,0.0789629858734407
MassClosure,CM,r_highI_Delta30.0_Lag0.0,-0.1165132395827725
MassClosure,JH,alpha_hat_Delta30.0_Lag0.0,0.0046807834210425
MassClosure,JH,alpha_theory_Delta30.0,0.0318485122459795
MassClosure,JH,r_all_Delta30.0_Lag0.0,0.172976947524222
MassClosure,JH,r_highI_Delta30.0_Lag0.0,0.0543451733964939
MassClosure,CM,alpha_hat_Delta60.0_Lag0.0,0.0002850682712186
MassClosure,CM,alpha_theory_Delta60.0,0.005445421820795
MassClosure,CM,r_all_Delta60.0_Lag0.0,0.13274583490121
MassClosure,CM,r_highI_Delta60.0_Lag0.0,-0.0839490618994031
MassClosure,JH,alpha_hat_Delta60.0_Lag0.0,0.00193209128397
MassClosure,JH,alpha_theory_Delta60.0,0.0318485122459795
MassClosure,JH,r_all_Delta60.0_Lag0.0,0.0868652379397
MassClosure,JH,r_highI_Delta60.0_Lag0.0,-0.1734436942309863
H3,CM,a_H2SO4,-0.4957871453419535
H3,CM,b_NucOX,-0.0499051148585527
H3,CM,c_Base,-0.3092824547656043
H3,JH,a_H2SO4,-0.0900407134804909
H3,JH,b_NucOX,0.0058286588164542
H3,JH,c_Base,0.2555537558452152
Residual,CM,lin2_Residual_rmse,0.4327995848740793
Residual,CM,cs_Residual_rmse,0.4049759599863114
Residual,CM,ml_Residual_rmse,0.2070706465087848
Residual,JH,lin2_Residual_rmse,0.3483211901138131
Residual,JH,cs_Residual_rmse,0.3206973176649608
Residual,JH,ml_Residual_rmse,0.1214608721091844
