Place,Target,Model,Feature,Importance
CM,Y1,RF,Temperature,0.2856554416
CM,Y1,RF,C_T_hat,0.1990301867
CM,Y1,RF,Humidity,0.1877193549
CM,Y1,RF,O3hv,0.11156491780000001
CM,Y1,RF,O3,0.0642973791
CM,Y1,SVR,Radiation,3.4713793557
CM,Y1,SVR,H2SO4O3,1.466448024
CM,Y1,SVR,O3,1.3115754682
CM,Y1,SVR,Temperature,1.1650245602
CM,Y1,SVR,hour_sin,0.8949607153
CM,Y1,KNN,O3,0.4125490834
CM,Y1,KNN,H2SO4O3,0.3952492523
CM,Y1,KNN,Humidity,0.3464849619
CM,Y1,KNN,HNO3O3,0.3249083123
CM,Y1,KNN,Radiation,0.3238538144
CM,Y1,MLP,O3,1.4579887259
CM,Y1,MLP,H2SO4O3,1.4043957602
CM,Y1,MLP,HNO3O3,1.3923838671
CM,Y1,MLP,C_T_hat,1.2911678489
CM,Y1,MLP,Radiation,1.227901459
CM,Y1,GBDT,Temperature,0.29916274400000004
CM,Y1,GBDT,C_T_hat,0.2377300022
CM,Y1,GBDT,O3hv,0.18252433540000002
CM,Y1,GBDT,O3,0.1187956832
CM,Y1,GBDT,Humidity,0.0947311509
CM,Y1,ADB,O3,1.2535219646
CM,Y1,ADB,Humidity,0.35209069060000003
CM,Y1,ADB,H2SO4O3,0.0587074323
CM,Y1,ADB,hour_cos,0.0424624517
CM,Y1,ADB,SO2,0.0355198481
CM,Y1,Ridge,Temperature,246.0522550578
CM,Y1,Ridge,C_T_hat,205.4673714559
CM,Y1,Ridge,H2SO4O3,4.8907665727000005
CM,Y1,Ridge,NOx,3.87033141
CM,Y1,Ridge,HNO3,2.1613791645
CM,Y1,XGB,Temperature,0.35153853890000003
CM,Y1,XGB,O3hv,0.26018214230000003
CM,Y1,XGB,Humidity,0.1890763342
CM,Y1,XGB,O3,0.0834611505
CM,Y1,XGB,H2SO4O3,0.022644365200000002
CM,Y2,RF,C_T_hat,0.2698138436
CM,Y2,RF,Temperature,0.2319997192
CM,Y2,RF,O3hv,0.15042282440000002
CM,Y2,RF,Humidity,0.14088754250000002
CM,Y2,RF,k_env_cs,0.053705870600000004
CM,Y2,SVR,Radiation,2.9089368056
CM,Y2,SVR,Temperature,2.7477977605
CM,Y2,SVR,hour_sin,2.640410037
CM,Y2,SVR,C_T_hat,2.4468482537
CM,Y2,SVR,k_env_cs,1.9311503877
CM,Y2,KNN,Humidity,0.3679960762
CM,Y2,KNN,k_env_cs,0.3431403126
CM,Y2,KNN,HNO3,0.27188261750000003
CM,Y2,KNN,Temperature,0.2557924783
CM,Y2,KNN,NOx,0.2522365982
CM,Y2,MLP,k_env_cs,0.9657538908000001
CM,Y2,MLP,Humidity,0.9065665962
CM,Y2,MLP,O3,0.8695243083
CM,Y2,MLP,HNO3O3,0.7640304577
CM,Y2,MLP,NOx,0.3062176273
CM,Y2,GBDT,Temperature,0.3903293749
CM,Y2,GBDT,O3hv,0.18075638830000001
CM,Y2,GBDT,C_T_hat,0.1782977097
CM,Y2,GBDT,k_env_cs,0.0820962568
CM,Y2,GBDT,O3,0.073086895
CM,Y2,ADB,O3,0.1127109179
CM,Y2,ADB,HNO3,0.08788534740000001
CM,Y2,ADB,H2SO4O3,0.0478317061
CM,Y2,ADB,O3hv,0.03835688
CM,Y2,ADB,Radiation,0.0185864806
CM,Y2,Ridge,Temperature,320.4108058044
CM,Y2,Ridge,C_T_hat,252.0449282763
CM,Y2,Ridge,HNO3,7.1543219686
CM,Y2,Ridge,Humidity,6.168056161
CM,Y2,Ridge,NOx,4.0425185384
CM,Y2,XGB,Temperature,0.5203056335
CM,Y2,XGB,O3hv,0.1929742247
CM,Y2,XGB,Humidity,0.12647792700000002
CM,Y2,XGB,O3,0.0576751344
CM,Y2,XGB,Radiation,0.0227601305
JH,Y1,RF,HNO3O3,0.1966998648
JH,Y1,RF,hour_cos,0.1343183226
JH,Y1,RF,hour_sin,0.10859153910000001
JH,Y1,RF,Radiation,0.1013489582
JH,Y1,RF,C_T_hat,0.094099187
JH,Y1,SVR,hour_sin,23.6962268615
JH,Y1,SVR,Humidity,10.3492335515
JH,Y1,SVR,hour_cos,10.1667938675
JH,Y1,SVR,H2SO4,8.0624527219
JH,Y1,SVR,H2SO4O3,5.1263726669
JH,Y1,KNN,hour_sin,2.5705105297
JH,Y1,KNN,H2SO4O3,2.2283590759
JH,Y1,KNN,O3,2.1969403323
JH,Y1,KNN,HNO3O3,1.3862447356
JH,Y1,KNN,NOx,1.1933898764
JH,Y1,MLP,O3,10.95983403
JH,Y1,MLP,HNO3O3,10.0999604237
JH,Y1,MLP,H2SO4O3,7.843981611
JH,Y1,MLP,Humidity,3.9557665565
JH,Y1,MLP,Temperature,3.5804903891
JH,Y1,GBDT,HNO3O3,0.35082201960000003
JH,Y1,GBDT,hour_sin,0.2474668123
JH,Y1,GBDT,Radiation,0.0793553305
JH,Y1,GBDT,HNO3,0.0620036468
JH,Y1,GBDT,Humidity,0.04245594
JH,Y1,ADB,hour_sin,1.3537084257
JH,Y1,ADB,O3,0.792639076
JH,Y1,ADB,HNO3,0.46019678890000004
JH,Y1,ADB,Humidity,0.2090147421
JH,Y1,ADB,NOx,0.1558886653
JH,Y1,Ridge,Temperature,100774.5039607878
JH,Y1,Ridge,C_T_hat,99730.5252601357
JH,Y1,Ridge,O3,19.3792409971
JH,Y1,Ridge,H2SO4O3,13.03363057
JH,Y1,Ridge,HNO3,6.0050504282
JH,Y1,XGB,HNO3O3,0.3782292902
JH,Y1,XGB,hour_sin,0.1101307422
JH,Y1,XGB,Radiation,0.0722982511
JH,Y1,XGB,NOx,0.0679152906
JH,Y1,XGB,H2SO4O3,0.0663875341
JH,Y2,RF,hour_cos,0.2598784865
JH,Y2,RF,Radiation,0.1379358494
JH,Y2,RF,k_env_cs,0.12283127860000001
JH,Y2,RF,HNO3O3,0.1170876535
JH,Y2,RF,Temperature,0.0686123534
JH,Y2,SVR,hour_sin,9.7643499438
JH,Y2,SVR,hour_cos,5.3531588548
JH,Y2,SVR,Humidity,3.8024404009
JH,Y2,SVR,H2SO4O3,3.6025992986
JH,Y2,SVR,H2SO4,3.1429204519
JH,Y2,KNN,H2SO4O3,1.6480385114
JH,Y2,KNN,hour_sin,1.5190220209
JH,Y2,KNN,O3,1.3944835445
JH,Y2,KNN,NOx,1.1340728169
JH,Y2,KNN,HNO3,0.7581404195
JH,Y2,MLP,O3,3.7139898615
JH,Y2,MLP,O3hv,2.0900108872
JH,Y2,MLP,Humidity,0.9366171094
JH,Y2,MLP,HNO3,0.7394833394
JH,Y2,MLP,NOx,0.5868939534000001
JH,Y2,GBDT,hour_cos,0.5059459396
JH,Y2,GBDT,k_env_cs,0.2023614857
JH,Y2,GBDT,Radiation,0.06341444980000001
JH,Y2,GBDT,Humidity,0.047347083000000005
JH,Y2,GBDT,C_T_hat,0.039386521300000005
JH,Y2,ADB,hour_sin,1.638927134
JH,Y2,ADB,HNO3O3,1.1809365231
JH,Y2,ADB,H2SO4,0.2302046613
JH,Y2,ADB,NOx,0.1373895882
JH,Y2,ADB,O3,0.0739089446
JH,Y2,Ridge,Temperature,4401.6631284484
JH,Y2,Ridge,C_T_hat,4025.6035728375
JH,Y2,Ridge,HNO3,23.879524701
JH,Y2,Ridge,NOx,22.1186720239
JH,Y2,Ridge,HNO3O3,7.5117941053
JH,Y2,XGB,hour_cos,0.35325112940000003
JH,Y2,XGB,HNO3O3,0.1388729513
JH,Y2,XGB,hour_sin,0.0749503598
JH,Y2,XGB,k_env_cs,0.0662693977
JH,Y2,XGB,Temperature,0.0451967493
