Category,Model,Place,Target,Variant,R2_train_norm,R2_test_norm,R2_train,R2_test,R2_train_uncentered,R2_test_uncentered,RMSE_test,MAE_test
III,RF,CM,Y1,base,0.9916417259,0.970095118,0.9753647559,0.9081010288,0.9993601310000001,0.9976018042,0.2070706465,0.1224181379
III,SVR,CM,Y1,base,0.9665436935,0.9600898966,0.9004112259,0.876679286,0.9974133089,0.9967818223,0.2398729245,0.1576901956
III,KNN,CM,Y1,base,1.0,0.9523573829,1.0,0.859601983,1.0,0.9963361730000001,0.2559432624,0.1513103384
III,MLP,CM,Y1,base,0.9562780175000001,0.9526046782,0.8577268382000001,0.8492634483,0.9963046364,0.9960663786,0.2651993789,0.1842820117
III,GBDT,CM,Y1,base,0.9902656449,0.9652095749,0.9701496698000001,0.8915591943000001,0.9992246758000001,0.9971701285000001,0.22493631830000002,0.13571304950000002
III,ADB,CM,Y1,base,0.9533684308,0.9469717698000001,0.8304925689,0.8175193908,0.9955972611,0.9952379856,0.2917907872,0.2120321897
III,Ridge,CM,Y1,base,0.9348804508,0.9292997352000001,0.7778438785,0.7616682271,0.9942297786000001,0.9937804935000001,0.33346801660000003,0.250676301
III,XGB,CM,Y1,base,0.9727454478,0.9609382521000001,0.9101678870000001,0.8742951911,0.9976667257,0.9967196070000001,0.24218049400000002,0.1640919703
III,RF,CM,Y2,cs,0.9978604710000001,0.9912144661000001,0.9940902998000001,0.972975765,0.9998465031,0.9992947755,0.1122896993,0.0695065299
III,SVR,CM,Y2,cs,0.9955725493,0.9905506202000001,0.9883764603,0.9701453037000001,0.9996980934,0.9992209118000001,0.1180237865,0.07377919100000001
III,KNN,CM,Y2,cs,1.0,0.9877162139000001,1.0,0.9635825899,1.0,0.9990496512,0.1303520132,0.0785211743
III,MLP,CM,Y2,cs,0.9784587401,0.9777598491,0.9366951698,0.9325334801,0.9983557379,0.9982393935,0.1774219585,0.1251577243
III,GBDT,CM,Y2,cs,0.9995457077000001,0.9924837460000001,0.9986971115000001,0.9769506033,0.9999661591000001,0.9993985029,0.1037034002,0.0658048989
III,ADB,CM,Y2,cs,0.9788389508,0.9769446067,0.9365905422,0.9310576394000001,0.9983530204000001,0.9982008800000001,0.1793520271,0.1438240268
III,Ridge,CM,Y2,cs,0.9648268921,0.9635588715000001,0.9000635202,0.8928733082,0.9974042776,0.9972044216,0.2235692457,0.16483148220000002
III,XGB,CM,Y2,cs,0.9894170676,0.9850414929,0.9682201458,0.9528908044000001,0.9991745589000001,0.9987706383,0.1482572905,0.1024421969
III,RF,JH,Y1,base,0.9833165378000001,0.9268358449,0.9888083497000001,0.9516851984,0.9997645716,0.9989849982000001,0.12497207,0.07176677990000001
III,SVR,JH,Y1,base,0.9170944406,0.8753304806000001,0.9465081295000001,0.9204796869,0.9988747410000001,0.9983294299000001,0.1603289335,0.1037647153
III,KNN,JH,Y1,base,1.0,0.9129977333,1.0,0.9449353746,1.0,0.9988431972,0.1334163969,0.0805706904
III,MLP,JH,Y1,base,0.7739112095,0.7350430633,0.8564051094,0.8363429059,0.996979327,0.9965618766000001,0.23000659080000002,0.16404712400000002
III,GBDT,JH,Y1,base,0.9965181349000001,0.9308205895,0.9978065729000001,0.9543619517,0.9999538589,0.9990412316,0.1214608721,0.0718482389
III,ADB,JH,Y1,base,0.8265114471,0.7794759434,0.8857094163,0.8568900738,0.9975957746,0.9969935334000001,0.21508382040000001,0.172954942
III,Ridge,JH,Y1,base,0.6532684106000001,0.661765416,0.7772753725,0.7876378505,0.9953147479000001,0.9955386763,0.2620061101,0.19257701200000002
III,XGB,JH,Y1,base,0.8830225109000001,0.8303408752,0.9234629192,0.8896646586,0.9983899602,0.9976820649,0.1888557381,0.12830285060000002
III,RF,JH,Y2,cs,0.9945995357,0.9751822758,0.9964486908,0.9841714284,0.9999252944,0.9996674719,0.071530906,0.0425841749
III,SVR,JH,Y2,cs,0.9720740317000001,0.9645316123000001,0.9826735144000001,0.9786259885,0.9996355187,0.9995509728,0.0831219806,0.0590215181
III,KNN,JH,Y2,cs,1.0,0.9707883463,1.0,0.9825426312000001,1.0,0.999633254,0.0751211549,0.0498150969
III,MLP,JH,Y2,cs,0.8960820298000001,0.8834628600000001,0.9347543066,0.9290030635000001,0.9986274867,0.9985084898000001,0.1514930355,0.11105308800000001
III,GBDT,JH,Y2,cs,0.9993607189,0.9844618429,0.9995969012,0.9902542053000001,0.9999915204000001,0.9997952594,0.0561282486,0.035784061900000004
III,ADB,JH,Y2,cs,0.9150914281,0.8972576729,0.9459235146,0.9362910182,0.998862443,0.9986615958,0.1435070362,0.1150701546
III,Ridge,JH,Y2,cs,0.7498179458,0.7557438397,0.8409037579,0.8498353418,0.9966532394000001,0.9968453269,0.2203214236,0.157497048
III,XGB,JH,Y2,cs,0.9386716387,0.9127158596,0.9604931361000001,0.944933864,0.9991689306,0.9988431655000001,0.1334182268,0.0977397161
