Category,Model,Place,Target,Variant,R2_train_norm,R2_test_norm,R2_train,R2_test,R2_train_uncentered,R2_test_uncentered,RMSE_test,MAE_test
III,RF,CM,Y1_cs,cs,0.9978604710000001,0.9912144661000001,0.9940902998000001,0.972975765,0.9998465031,0.9992947755,0.1122896993,0.0695065299
III,SVR,CM,Y1_cs,cs,0.9955725493,0.9905506202000001,0.9883764603,0.9701453037000001,0.9996980934,0.9992209118000001,0.1180237865,0.07377919100000001
III,KNN,CM,Y1_cs,cs,1.0,0.9877162139000001,1.0,0.9635825899,1.0,0.9990496512,0.1303520132,0.0785211743
III,MLP,CM,Y1_cs,cs,0.9784587401,0.9777598491,0.9366951698,0.9325334801,0.9983557379,0.9982393935,0.1774219585,0.1251577243
III,GBDT,CM,Y1_cs,cs,0.9995457077000001,0.9924837460000001,0.9986971115000001,0.9769506033,0.9999661591000001,0.9993985029,0.1037034002,0.0658048989
III,ADB,CM,Y1_cs,cs,0.9788389508,0.9769446067,0.9365905422,0.9310576394000001,0.9983530204000001,0.9982008800000001,0.1793520271,0.1438240268
III,Ridge,CM,Y1_cs,cs,0.9648268921,0.9635588715000001,0.9000635202,0.8928733082,0.9974042776,0.9972044216,0.2235692457,0.16483148220000002
III,XGB,CM,Y1_cs,cs,0.9894170676,0.9850414929,0.9682201458,0.9528908044000001,0.9991745589000001,0.9987706383,0.1482572905,0.1024421969
III,RF,JH,Y1_cs,cs,0.9945995357,0.9751822758,0.9964486908,0.9841714284,0.9999252944,0.9996674719,0.071530906,0.0425841749
III,SVR,JH,Y1_cs,cs,0.9720740317000001,0.9645316123000001,0.9826735144000001,0.9786259885,0.9996355187,0.9995509728,0.0831219806,0.0590215181
III,KNN,JH,Y1_cs,cs,1.0,0.9707883463,1.0,0.9825426312000001,1.0,0.999633254,0.0751211549,0.0498150969
III,MLP,JH,Y1_cs,cs,0.8960820298000001,0.8834628600000001,0.9347543066,0.9290030635000001,0.9986274867,0.9985084898000001,0.1514930355,0.11105308800000001
III,GBDT,JH,Y1_cs,cs,0.9993607189,0.9844618429,0.9995969012,0.9902542053000001,0.9999915204000001,0.9997952594,0.0561282486,0.035784061900000004
III,ADB,JH,Y1_cs,cs,0.9150914281,0.8972576729,0.9459235146,0.9362910182,0.998862443,0.9986615958,0.1435070362,0.1150701546
III,Ridge,JH,Y1_cs,cs,0.7498179458,0.7557438397,0.8409037579,0.8498353418,0.9966532394000001,0.9968453269,0.2203214236,0.157497048
III,XGB,JH,Y1_cs,cs,0.9386716387,0.9127158596,0.9604931361000001,0.944933864,0.9991689306,0.9988431655000001,0.1334182268,0.0977397161
