Category,ModelID,Place,Parameter,Estimate,StdErr,p_value,Significance
I,1,CM,HNO3,0.0022250950000000003,0.0001889022,5.003203253e-32,***
I,1,CM,H2SO4,0.0008584325000000001,0.0006620946,0.1947892803,
I,1,CM,H2SO4O3,0.0001049948,1.8719200000000002e-05,2.04e-08,***
I,1,CM,HNO3O3,-4.36577e-05,1.0506e-05,3.24586e-05,***
I,1,CM,O3hv,-2.2062e-06,1.2016e-06,0.0663543899,
I,1,CM,K,-0.8512359264,0.2237205941,0.0001418578,***
I,1,CM,hv,1.68992e-05,2.96008e-05,0.568064435,
I,2,CM,HNO3,0.0005601385,5.45607e-05,9.992728763000001e-25,***
I,2,CM,H2SO4,0.0049928632,0.00026305320000000003,2.475471245e-80,***
I,2,CM,H2SO4O3,-2.38365e-05,7.3458e-06,0.001174934,**
I,2,CM,HNO3O3,-3.95591e-05,4.2511e-06,1.3316257e-20,***
I,2,CM,O3hv,5.7149e-06,5.832e-07,1.126785172e-22,***
I,2,CM,K,-0.2885227838,0.0748660013,0.000116272,***
I,2,CM,hv,-0.0001294294,1.36315e-05,2.2049763969999996e-21,***
I,3,CM,C_T_hat,1.3031813588,0.0117387262,0.0,***
I,1,JH,HNO3,-0.0003151577,7.084680000000001e-05,8.649600000000001e-06,***
I,1,JH,H2SO4,0.0065384025,0.0010420964,4e-10,***
I,1,JH,H2SO4O3,-0.0001631258,1.45031e-05,2.3786036259999998e-29,***
I,1,JH,HNO3O3,0.0001248961,1.14793e-05,1.433573669e-27,***
I,1,JH,O3hv,-6.281000000000001e-07,1.01e-07,5e-10,***
I,1,JH,K,-1.1169777188,0.357949379,0.0018054998,**
I,1,JH,hv,1.71791e-05,2.7283e-06,3e-10,***
I,2,JH,HNO3,0.0003027196,1.7364200000000002e-05,4.591679230000001e-68,***
I,2,JH,H2SO4,0.00035218040000000003,0.00019797520000000002,0.07525422080000001,
I,2,JH,H2SO4O3,2.5776e-06,2.8220000000000003e-06,0.3610193528,
I,2,JH,HNO3O3,1.21862e-05,1.5956e-06,0.0,***
I,2,JH,O3hv,-4.1100000000000004e-08,1.4700000000000001e-08,0.005171084,**
I,2,JH,K,0.8626485641,0.06780394370000001,4.423640197e-37,***
I,2,JH,hv,1.8313000000000002e-06,3.815e-07,1.5817e-06,***
I,3,JH,C_T_hat,1.3057998838,0.0040587947,0.0,***
