Chemical,Cluster,Place,Average Concentration,CRPS,R2 Total,R2 WLS,R2 Mean,Concentration Std Dev,R2 Std Dev,Percentage (%),Q0,Pvalue Q0,a,Pvalue a,v0,Pvalue v0,k,Pvalue k,sigma0,Pvalue sigma0
Isoprene,8.0,JH,1.192171884718374,0.1972736424543199,0.184124564066499,0.6217987879006025,0.623364538217728,0.3424475801792531,0.3848527882941878,5.326880083967836,67.64141376010349,0.001672585027225226,0.1592848549965196,0.001252734707276826,-4.611195135062034,0.001557849334897776,0.005792531359238892,0.2128652292066555,-0.06298352369673552,0.6797527955378977
,,CM,1.604692345700646,0.232224933820112,0.1675328248081799,0.5443080608517499,0.5352823751713689,0.4058780796482077,0.3934687833607876,4.148721977893452,16.84128869528625,0.2998183809816366,0.03708183050386504,0.2440585437363827,-1.071926165061306,0.2924990917816013,0.005665220608650424,0.0,-0.10279034126138,1.532107773982716e-14
Carbon Disulfide/Propyl Mercaptan,13.0,JH,0.6100431698806482,0.1230616432606227,0.1648523229010954,0.5734814273574824,0.573441202998002,0.191643488636556,-0.0007808497170171957,2.725803932849406,-14.13245809701826,0.2201158268323891,-0.03878507437162471,0.1427278515548756,1.074252045880515,0.1699894537192803,0.001722986595557696,0.931812827142454,-0.05148301424419895,0.7961084960536291
,,CM,1.35685441721697,0.2428822186875652,0.2229287330758849,0.4542763399328436,0.4676169826851188,0.4786192466643746,0.02314233208251071,3.507969460059965,4.735219754419786,0.815091150416206,-0.001676414955473685,0.9661629401790917,-0.07981848422152657,0.949810353576058,0.004344626718213976,0.0001300423540064877,-0.08607571143911082,5.579164241709123e-09
Pentane/Isopentane,10.0,JH,0.337653532256034,0.0606172098202005,0.1660797164119441,0.5553682021430171,0.571623437562381,0.1063231428518362,0.276118144312497,1.508708517044881,11.46463928932804,0.0793153226488903,0.02814005683486182,0.06009799222077983,-0.7939583935907165,0.07277851809202263,0.001559627700985204,0.5753921177902024,-0.01634504773379046,0.8530583946837755
,,CM,0.6986758657753044,0.4544350212625854,0.0670960640575411,0.1392757596512507,0.117811931709732,0.9542519154847212,0.08878361489010567,1.806334982236199,8.755745302167469,0.8674287033347947,0.02391359544119541,0.8153013396654636,-0.6350691222213958,0.8467471779317859,0.01204758982036028,0.9567272720551565,-0.1270046194328938,0.9857502932336517
"1,1-Dichloroethylene",22.0,JH,1.882512811863572,0.2490826474165535,0.1427454002681228,0.5165933838517269,0.5153222858425989,0.3842524224236782,0.001256580692280185,8.411471645885394,57.26600187556558,0.0259545720135459,0.1171089593798604,0.04324280011038328,-3.610731163638258,0.0364300957274224,0.00444555031389467,0.6404019582284017,-0.1165953673710897,0.1504760428235024
,,CM,1.83782859452718,0.2089567680360886,0.1252814842564435,0.425941798998393,0.4164578638278391,0.3008073034133094,0.09494945204221328,4.751465227676928,4.694353379216609,0.7273431020908059,0.01044844233454253,0.6909492941005557,-0.256470375836009,0.760956678308554,0.005916993831926663,0.8539533844217502,-0.05875782054784053,0.9522042813001503
Trichloroethylene,35.0,JH,0.6867124592111908,0.167152530279196,0.100576130814382,0.4935642942133632,0.4935045120091076,0.1978922358332322,-0.000506731975472352,3.068378787718856,-9.771886265628073,0.4460089625735058,-0.02888851583135116,0.3249190016695525,0.7825069139293735,0.3680600667582548,0.002795163740496793,0.9466566322782737,-0.08472599889190081,0.8397631332835969
,,CM,1.810201294269439,0.3052327821668016,0.05291181607015649,0.2073739732312437,0.2020856975053967,0.4780021987076842,0.4548058963915549,4.680038459750828,41.42221753926398,0.1049766965707606,0.08113311515775291,0.1040283101547277,-2.543235742568684,0.1117593273975546,0.007161580355411896,1.072497646248394e-11,-0.1024043500492911,0.003516223505192428
